id,mac_address,status,used_time,user
365,44a92c20016C,used,2021-07-22 14:38:45,GBM
366,44a92c20016D,used,2021-07-22 14:38:45,GBM
367,44a92c20016E,used,2021-07-22 14:38:45,GBM
368,44a92c20016F,used,2021-07-22 14:38:45,GBM
369,44a92c200170,used,2021-07-22 14:38:45,GBM
370,44a92c200171,used,2021-07-22 14:38:45,GBM
371,44a92c200172,used,2021-07-22 14:38:45,GBM
372,44a92c200173,used,2021-07-22 14:38:45,GBM
373,44a92c200174,used,2021-07-22 14:38:45,GBM
374,44a92c200175,used,2021-07-22 14:38:45,GBM
375,44a92c200176,used,2021-07-22 14:38:45,GBM
376,44a92c200177,used,2021-07-22 14:38:45,GBM
377,44a92c200178,used,2021-07-22 14:38:45,GBM
378,44a92c200179,used,2021-07-22 14:38:45,GBM
379,44a92c20017A,used,2021-07-22 14:38:45,GBM
380,44a92c20017B,used,2021-07-22 14:38:45,GBM
381,44a92c20017C,used,2021-07-22 14:38:45,GBM
382,44a92c20017D,used,2021-07-22 14:38:45,GBM
383,44a92c20017E,used,2021-07-22 14:38:45,GBM
384,44a92c20017F,used,2021-07-22 14:38:45,GBM
385,44a92c200180,used,2021-07-22 14:38:45,GBM
386,44a92c200181,used,2021-07-22 14:38:45,GBM
387,44a92c200182,used,2021-07-22 14:38:45,GBM
388,44a92c200183,used,2021-07-22 14:38:45,GBM
389,44a92c200184,used,2021-07-22 14:38:45,GBM
390,44a92c200185,used,2021-07-22 14:38:45,GBM
391,44a92c200186,used,2021-07-22 14:38:45,GBM
392,44a92c200187,used,2021-07-22 14:38:45,GBM
393,44a92c200188,used,2021-07-22 14:38:45,GBM
394,44a92c200189,used,2021-07-22 14:38:45,GBM
395,44a92c20018A,used,2021-07-22 14:38:45,GBM
396,44a92c20018B,used,2021-07-22 14:38:45,GBM
397,44a92c20018C,used,2021-07-22 14:38:45,GBM
398,44a92c20018D,used,2021-07-22 14:38:45,GBM
399,44a92c20018E,used,2021-07-22 14:38:45,GBM
400,44a92c20018F,used,2021-07-22 14:38:45,GBM
401,44a92c200190,used,2021-07-22 14:38:45,GBM
402,44a92c200191,used,2021-07-22 14:38:45,GBM
403,44a92c200192,used,2021-07-22 14:38:45,GBM
